Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1121229050,1195530726,1264245810,1326256983,1377094972,1393586592,1346423464,1266650838,1282296089,1458098883,1606588827,1595335196,1742107263,1863013966,1606810056,1477511732,1839933520,1911810056,2088122905,2184551397,2158564246,2142859777,2243516760,2367132402,2486900000,1347955028,2154231620,
Africa Eastern and Southern,AFE,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,49638659270,42114972245,36536172831,37292816999,35187041598,32768526871,37444230260,46819150142,49218891981,48729233465,52206066819,51300650917,52029313473,54615931371,57933047755,66862369142,69672062455,70956821888,67079391416,65971902008,73830641798,70076904899,75096820874,92016879857,1.14927E+11,1.43497E+11,1.72224E+11,2.13244E+11,2.53653E+11,1.96631E+11,2.52415E+11,2.98234E+11,2.85215E+11,2.8343E+11,2.82159E+11,2.17055E+11,1.94852E+11,2.27671E+11,2.55453E+11,2.39106E+11,2.05572E+11,2.79199E+11,3.05673E+11
Afghanistan,AFG,Exports of goods and services (current US$),NE.EXP.GNFS.CD,22222233.33,24444455.56,26666680,68888922.22,71111144.44,113333340,120000000,113333340,122222228.9,142222222.2,171111104.4,199999988.9,235555544.4,224444437.8,302222222.2,300000006.7,337777777.8,344444451.1,357777771.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,Exports of goods and services (current US$),NE.EXP.GNFS.CD,1744366391,1916475265,1952530594,2086227005,2427139290,2667226112,2752257992,2683668706,2938863909,3385431105,4022839555,3984634423,4862042562,7137659331,13470494536,12589077579,15287988480,19358673485,18268475447,25305394688,36601485651,29481644654,24129352832,18859694993,19477749769,20790856828,17801459240,22330120586,20669408400,27870284327,30965149690,30670099173,30460322682,23116224222,21899342911,32547544109,36266256337,40183959422,32701079204,36503351801,50875499352,45598505954,49514027019,60085862189,66800584286,84009810055,1.25232E+11,1.2329E+11,1.69609E+11,1.23016E+11,1.7592E+11,2.32824E+11,2.50315E+11,1.96336E+11,2.07859E+11,1.33486E+11,1.16869E+11,1.42897E+11,1.71223E+11,1.76271E+11,1.21467E+11,1.61883E+11,
Angola,AGO,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8187952997,6736815760,8725779845,9676099631,13749775747,24225651603,33245117516,44319670865,64168422876,41310610565,50280434506,66395107686,69924162330,67697415579,61341442499,25951752165,14017381688,20004932390,31767752272,28271709349,19110949393,29843731085,
Albania,ALB,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,335069933,319090900.3,327312512.5,333550012.5,348287487.5,418924987.5,312500000,82300000,81519209.68,189399541.5,225407401.6,302465325.4,371808926.2,230303544.6,291949986.8,540977914.6,700083398.1,836717875.5,910729685,1169850311,1596261929,1853023815,2242665610,3016116360,3259293764,3040047650,3337086719,3769456453,3565050523,3694413350,3732057452,3104897786,3437126528,4110301306,4785179296,4821429204,3435540416,5613909458,7073881662
Andorra,AND,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.06155E+11,3.19436E+11,3.75641E+11,5.02205E+11,6.73854E+11,8.19643E+11,9.52847E+11,1.26231E+12,8.95194E+11,1.11362E+12,1.35928E+12,1.52481E+12,1.50845E+12,1.42298E+12,1.04903E+12,9.56982E+11,1.09832E+12,1.28897E+12,1.2482E+12,9.36113E+11,,
United Arab Emirates,ARE,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50787202178,54362695711,69538461538,93968596324,1.22071E+11,1.52434E+11,1.8669E+11,2.48808E+11,2.01959E+11,2.38328E+11,3.15868E+11,3.75514E+11,3.92245E+11,4.01367E+11,3.61253E+11,3.60626E+11,3.84044E+11,3.92863E+11,4.04046E+11,3.35238E+11,,
Argentina,ARG,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,1147183934,1441753550,1424603255,1764705803,1904761830,1818181858,1714285705,2000000041,1769210603,2000000003,2500000047,4000000136,4999999840,3054054017,4695000304,5459999881,7665724160,4508960597,3895791555,5445263190,7663966256,9515669467,8873730059,10345475059,8641279278,8566904947,12094686105,10006623327,14643477445,14561091033,15095266940,16357317317,19385100000,24978532000,28381400000,30928400000,31137200000,27862300000,31223690400,31112418400,27736610298,33084505278,39266996606,46198180131,53550250227,65162321195,79762958392,65133480388,80208867996,97809990816,88655850854,80690471898,75818867911,63671789069,69842603994,72860558232,75766599512,80259483025,64041625026,87867655491,1.06166E+11
