Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1141899441,1224022346,1321229050,1392737430,1458100559,1324284916,1316033520,1347128492,1432167598,1527994413,1816622905,1888111173,2005849162,2091921788,1906100559,1846245251,2233917877,2184788268,2328027933,2361241899,2162351955,2101055866,2203529050,2390327374,2448677654,1694640335,2133552235,
Africa Eastern and Southern,AFE,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49801728809,53300437585,50488910958,50576822884,57952728545,70076406472,71395326872,74191817253,72297481516,67293724960,73438816800,69932813646,74810680953,94263910017,1.20197E+11,1.45885E+11,1.70996E+11,2.11287E+11,2.5685E+11,2.27639E+11,2.5717E+11,3.07512E+11,3.1974E+11,3.32785E+11,3.27256E+11,2.80186E+11,2.41199E+11,2.67946E+11,2.8906E+11,2.70233E+11,2.21277E+11,2.7966E+11,3.36217E+11
Afghanistan,AFG,Imports of goods and services (current US$),NE.IMP.GNFS.CD,37777780,44444446.67,51111111.11,126666717.8,144444451.1,215555548.9,259999993.3,237777784.4,208888900,211111117.8,208888900,295555548.9,288888877.8,255555562.2,320000000,337777777.8,380000006.7,437777795.6,457777788.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,Imports of goods and services (current US$),NE.IMP.GNFS.CD,2358097820,2628221647,2465018449,2587559208,2936041057,3288236784,3258169391,3265810361,3386471868,3794258602,4489101472,4588751015,5283261354,7408115763,10562142227,15310940554,18643590170,19417782686,21635936271,24258711285,30594759271,34226182328,26397890973,18669166121,15975335160,18137076050,19340599568,21436651947,20282321523,21134676021,24723806863,25270725478,26534319451,22040009863,20351082408,27980891417,32551564307,37015534246,37265779547,33361488431,33320507256,41856986954,44849647731,57878635304,55884911020,67495204425,84517885715,1.19263E+11,1.3553E+11,1.28332E+11,1.54433E+11,1.91251E+11,1.68342E+11,1.8109E+11,1.85303E+11,1.54518E+11,1.46891E+11,1.53212E+11,1.87984E+11,2.11993E+11,1.34795E+11,1.78612E+11,
Angola,AGO,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5738980004,6697309999,7370192438,8831519492,10645433273,15181987508,16320510950,26207262260,43286269634,44777827968,34788093521,43022314720,44824316725,48111076625,47538582413,28899171590,12582567235,16038048503,19869658777,11809428922,8710618375,10917707595,
Albania,ALB,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,372867136.2,362610725.8,336224987.5,335624987.5,408575012.5,483800000,487500000,314316659.7,627952433.9,764996711.8,773426121.5,836744255.2,1064684052,795638991.1,933614580.6,1097558436,1508343773,1771127106,2068787044,2591005964,3220867804,3853672267,4364190436,5867640034,6717539656,6004538214,5792187294,6700234565,5860879365,5999382696,6243003603,5070977361,5436220795,6070375897,6856194805,6926959692,5636282434,8016544326,9033549157
Andorra,AND,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7447E+11,1.90155E+11,2.02393E+11,2.14822E+11,2.17185E+11,2.26953E+11,2.45968E+11,2.49273E+11,2.5838E+11,2.91303E+11,3.8077E+11,4.6697E+11,5.4661E+11,7.13333E+11,9.15131E+11,8.19375E+11,8.57069E+11,9.09827E+11,1.01264E+12,1.0685E+12,1.12366E+12,1.05268E+12,9.74285E+11,1.03623E+12,1.0609E+12,1.09319E+12,9.18277E+11,,
United Arab Emirates,ARE,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42053369639,47845064670,57668073519,78428046290,93862491491,1.1293E+11,1.66134E+11,2.19714E+11,1.8714E+11,1.78611E+11,2.15973E+11,2.39749E+11,2.52509E+11,2.77888E+11,2.66276E+11,2.70442E+11,2.90783E+11,2.81536E+11,2.956E+11,2.46886E+11,,
Argentina,ARG,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,2294367227,1441753153,1424602864,1176470539,1428571371,1212121237,1428571475,2000000041,1495789482,2199999959,2374999979,3000000102,4555555490,3135135021,3030000057,4159999873,5089538172,4383512571,4989980080,5800000171,5497685333,6068376037,5561048223,5529993736,6695427336,8243255952,7882225528,5041767786,6546496033,11531201154,18606122294,22049649650,27299960000,26038017000,30148400000,37413700000,38667300000,32762700000,33070146000,27603881800,13065823829,18772898619,27736672324,34392237787,40480743016,52567536062,66316154417,48268743530,67937933972,88838318609,78013690407,81240190817,73691675720,70064879912,75639253620,89910495973,85681310490,65845625147,52467914393,72817326087,96803039173
Armenia,ARM,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1045655213,1244415584,779688141.2,729847643.5,961398392.5,913101627.2,894135832.3,955405625.8,1000634291,919091316.9,957156467,968529888.7,1096735502,1391414379,1605180992,2098701568,2482540338,3570727478,4697073298,3684309609,4157364608,4757906581,5139736824,5471934330,5481836304,4427830386,4464568370,5646879068,6612701461,7458380126,5021765673,6075564643,9896982119
American Samoa,ASM,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562000000,574000000,570000000,618000000,638000000,625000000,758000000,559000000,541000000,563000000,646000000,651000000,695000000,665000000,639000000,626000000,662000000,614000000,691000000,724000000,
